Time(s),Filtered_Voltage
260.5097,-0.011423108776409188
260.5143,-0.012105271713569683
260.5184,-0.012441309645689978
260.522,-0.01191893489185224
260.5261,-0.011046591989324332
260.53,-0.010661330061454078
260.5336,-0.010856050221407836
260.5376,-0.010841674895871803
260.5416,-0.009804618448682172
260.5458,-0.007745987902341649
260.5498,-0.005463430976753608
260.5543,-0.0037846160732437706
260.5583,-0.002865142750108839
260.5613,-0.0022585486401207515
260.5657,-0.0016422691843936586
260.5697,-0.0013071364771823264
260.5743,-0.0017622737560024698
260.5783,-0.0029568139248569722
260.5817,-0.004166531205723946
260.5858,-0.004703127082281086
260.5898,-0.004525410090534476
260.5944,-0.004050814983961993
260.5975,-0.003561008484302514
260.6021,-0.0030109120511650394
260.6063,-0.0023595411397944206
260.6104,-0.0018298287689145214
260.6142,-0.0016871112919975562
260.6181,-0.0018576613225503875
260.6218,-0.0019839527552022763
260.6259,-0.0019381574158523433
260.6299,-0.0021136860403856367
260.6334,-0.0029765833241877852
260.6374,-0.004326485238459309
260.6419,-0.00523657846831186
260.6459,-0.004901272429495472
260.6499,-0.003492361980603568
260.6535,-0.0020505363409583505
260.6576,-0.00153564972370367
260.6622,-0.0020599101042018046
260.6662,-0.0029902360958635856
260.6702,-0.0036134783406657823
260.6743,-0.003646831911969536
260.6783,-0.0032968004633387215
260.6824,-0.0030314930911907296
260.6864,-0.0032391224505533465
260.6904,-0.003872334084126649
260.6939,-0.004343782713123151
260.6979,-0.003971643721763047
260.7014,-0.0027591501526714546
260.7055,-0.0016863815566694246
260.7095,-0.0019300517558176037
260.714,-0.0035667162109813515
260.718,-0.005157015767122271
260.7215,-0.004929694817444059
260.7256,-0.002536274560389146
260.7296,0.0004598792139303573
260.7343,0.0019221088100043304
260.7383,0.0009279164549883445
260.7418,-0.0016389898374301317
260.7458,-0.003833567437254791
260.7498,-0.003782530228065791
260.7534,-0.0006247288369770703
260.7574,0.004819719574547408
260.7619,0.010074505071811134
260.7659,0.012275575003971667
260.7699,0.010165003040594348
260.7735,0.005184039153762449
260.7775,0.0005476772853339313
260.7822,-0.001010580569009795
260.7862,0.0010300177246594707
260.7902,0.005016611247153722
260.7937,0.008617583235734446
260.7982,0.010431806406997297
260.8019,0.010547960689496202
260.806,0.009880170819908983
260.81,0.009077712751676657
260.8135,0.008078927233341686
260.8175,0.006655509215499587
260.8221,0.005149534601777993
260.8261,0.004368302010831878
260.8294,0.004714040246383775
260.834,0.005693857546420421
260.838,0.006456836191479403
260.8415,0.006597715537298859
260.846,0.0061932934845752505
260.85,0.0052667807578614355
260.8535,0.0037054205874834235
260.8575,0.0018194427234309173
260.8621,0.0005640035968448452
260.8661,0.0007936212206190439
260.8701,0.002328349390098026
260.8737,0.0040611670200980925
260.8777,0.0050872690027452035
260.8822,0.005514189257448332
260.8862,0.006028171103593574
260.8902,0.006885313388805496
260.8938,0.007642196712183503
260.8978,0.007884718456618776
260.9023,0.007923639460054324
260.9054,0.0084868344018454
260.9094,0.009691361659082506
260.914,0.010546756045089239
260.918,0.009757775850318881
260.9222,0.007111032027054398
260.9263,0.00395073493806765
260.9303,0.0021628778393542403
260.934,0.0026773243516945108
260.938,0.004902769156149119
260.9426,0.007400817896046507
260.9458,0.008943427094248708
260.9497,0.009062688253447384
260.9538,0.007970922152216378
260.9578,0.006260827382838048
260.9614,0.004666200511124647
260.9656,0.0038315437319448916
260.9696,0.004026841321215705
260.9743,0.004983285568975291
260.9783,0.006038326564853619
260.9817,0.0064733186184766115
260.9858,0.005789873318839287
260.9898,0.0039037056473744634
260.9944,0.0013255092717039257
260.9975,-0.0009378270112246926
261.0024,-0.0020410202216498384
261.0054,-0.002013850637212991
261.0094,-0.0016135083158725881
261.0139,-0.0013787264786152616
261.0179,-0.001090933365135245
261.0215,-0.0003540452841547206
261.0265,0.0005484413350030976
261.0305,0.0007868835588105592
261.034,4.751649070921257e-05
261.038,-0.0008975622191452387
261.0416,-0.0010263219172332795
261.0466,-0.0003197328307101752
261.0496,0.00027284143876930085
261.0541,0.00019262677012400867
261.0581,0.00012871554102533928
261.0616,0.001138133585711997
261.0657,0.0031021765316383834
261.0696,0.00449240606267025
261.0742,0.0037916328468957537
261.0775,0.0009568563493333254
261.0816,-0.0026296929378629976
261.0857,-0.005498954474675531
261.0897,-0.007171359560746706
261.0935,-0.007950233806010303
261.0976,-0.008023978247387124
261.1021,-0.0071643206726443726
261.1061,-0.005344325478919852
261.1101,-0.0033488865650709277
261.1137,-0.0024419023116055644
261.1177,-0.0032904839199737893
261.1222,-0.005272078500233346
261.1256,-0.006970113282288118
261.1296,-0.0074295849758802815
261.1341,-0.006912760513567564
261.1381,-0.0064274153668460125
261.1426,-0.006616399683892575
261.1457,-0.007168943839064249
261.1497,-0.007226990638575161
261.1542,-0.006266647034863592
261.1577,-0.0046193383456997455
261.1622,-0.0032182307656445502
261.1662,-0.002823251559590899
261.1702,-0.00339644445220416
261.1738,-0.004160444090370325
261.1778,-0.004274806840224821
261.182,-0.0035123634282693645
261.186,-0.0023473539662769586
261.19,-0.00146579766800888
261.1935,-0.001206418078264861
261.1975,-0.0013902308375658716
261.2021,-0.0016153930751230516
261.2061,-0.0017184071704392152
261.2101,-0.0019485309730155722
261.2136,-0.00263237751573805
261.2176,-0.0036256643659323853
261.2221,-0.004185001421006066
261.2262,-0.0035917662021363594
261.2302,-0.002039347396132005
261.2337,-0.0007663102246233966
261.2377,-0.001019724473789356
261.2422,-0.0027765462585707078
261.2462,-0.004642316009398603
261.2502,-0.005164982545413941
261.2545,-0.00422294629781802
261.2585,-0.0030624451171830827
261.2622,-0.0030155980727544374
261.2664,-0.004243252085714008
261.2698,-0.005730565172289868
261.2745,-0.006397773851318383
261.2785,-0.006005461905137033
261.2817,-0.004937289949700169
261.2859,-0.003444315573631973
261.2899,-0.0015017209512109414
261.2945,0.0006595964701437739
261.2975,0.0023303566371318794
261.3022,0.002891648002848568
261.3063,0.0024648403795596166
261.3103,0.0017754512923970243
261.3143,0.0013913549853580341
261.3184,0.0012696781502320514
261.322,0.0010783989214805658
261.326,0.000752656769170071
261.33,0.0005564188776548318
261.3335,0.0006830192281376615
261.3375,0.0009511383381163969
261.3421,0.0008573863211266967
261.3461,-0.00011699005207331515
261.3501,-0.002041843795721511
261.3536,-0.004159774865822374
261.3576,-0.005164376680462758
261.3616,-0.004271902188935108
261.3658,-0.002063304279066212
261.3698,5.433973324450118e-05
261.3743,0.0012987805724195228
261.3777,0.0021104988885361393
261.3823,0.0031870713157889944
261.3863,0.004362867673994074
261.3903,0.004929329438797129
261.3935,0.0049306764278763335
261.3975,0.005528836574237905
261.4021,0.007709036049571787
261.4061,0.010820875619104796
261.4101,0.012795033792439344
261.4136,0.011971827853237462
261.4176,0.008694685194022191
261.4221,0.005077022158697403
261.4261,0.0031671934808178
261.4301,0.0032601708755026614
261.4337,0.003954799616192691
261.4377,0.003813242609557564
261.4422,0.0028299887191220877
261.4462,0.002192440127535162
261.4502,0.0027337802487464027
261.4538,0.0038583286714918143
261.458,0.004091422575374089
261.4625,0.0026028674995905174
261.4655,7.8273641902846e-05
261.4695,-0.0018993273094988876
261.474,-0.0022379643186621594
